X	PHI
  -2.840	  -0.160
  -2.840	  -0.161
  -2.839	  -0.161
  -2.839	  -0.162
  -2.838	  -0.163
  -2.837	  -0.163
  -2.837	  -0.164
  -2.836	  -0.164
  -2.836	  -0.165
  -2.835	  -0.166
  -2.834	  -0.166
  -2.834	  -0.167
  -2.833	  -0.167
  -2.833	  -0.168
  -2.832	  -0.169
  -2.831	  -0.169
  -2.831	  -0.170
  -2.830	  -0.170
  -2.830	  -0.171
  -2.829	  -0.172
  -2.828	  -0.172
  -2.828	  -0.173
  -2.827	  -0.173
  -2.827	  -0.174
  -2.826	  -0.175
  -2.825	  -0.175
  -2.825	  -0.176
  -2.824	  -0.176
  -2.824	  -0.177
  -2.823	  -0.178
  -2.822	  -0.178
  -2.822	  -0.179
  -2.821	  -0.179
  -2.821	  -0.180
  -2.820	  -0.181
  -2.819	  -0.181
  -2.819	  -0.182
  -2.818	  -0.182
  -2.818	  -0.183
  -2.817	  -0.184
  -2.816	  -0.184
  -2.816	  -0.185
  -2.815	  -0.185
  -2.815	  -0.186
  -2.814	  -0.187
  -2.813	  -0.187
  -2.813	  -0.188
  -2.812	  -0.188
  -2.812	  -0.189
  -2.811	  -0.190
  -2.810	  -0.190
  -2.810	  -0.191
  -2.809	  -0.191
  -2.809	  -0.192
  -2.808	  -0.193
  -2.807	  -0.193
  -2.807	  -0.194
  -2.806	  -0.194
  -2.806	  -0.195
  -2.805	  -0.196
  -2.804	  -0.196
  -2.804	  -0.197
  -2.803	  -0.197
  -2.803	  -0.198
  -2.802	  -0.199
  -2.801	  -0.199
  -2.801	  -0.200
  -2.800	  -0.200
  -2.800	  -0.201
  -2.799	  -0.202
  -2.798	  -0.202
  -2.798	  -0.203
  -2.797	  -0.203
  -2.797	  -0.204
  -2.796	  -0.205
  -2.795	  -0.205
  -2.795	  -0.206
  -2.794	  -0.206
  -2.794	  -0.207
  -2.793	  -0.208
  -2.792	  -0.208
  -2.792	  -0.209
  -2.791	  -0.209
  -2.791	  -0.210
  -2.790	  -0.211
  -2.789	  -0.211
  -2.789	  -0.212
  -2.788	  -0.212
  -2.788	  -0.213
  -2.787	  -0.214
  -2.786	  -0.214
  -2.786	  -0.215
  -2.785	  -0.215
  -2.785	  -0.216
  -2.784	  -0.217
  -2.783	  -0.217
  -2.783	  -0.218
  -2.782	  -0.218
  -2.782	  -0.219
  -2.781	  -0.220
  -2.780	  -0.220
  -2.780	  -0.221
  -2.779	  -0.221
  -2.779	  -0.222
  -2.778	  -0.223
  -2.777	  -0.223
  -2.777	  -0.224
  -2.776	  -0.224
  -2.776	  -0.225
  -2.775	  -0.226
  -2.774	  -0.226
  -2.774	  -0.227
  -2.773	  -0.227
  -2.773	  -0.228
  -2.772	  -0.229
  -2.771	  -0.229
  -2.771	  -0.230
  -2.770	  -0.230
  -2.770	  -0.231
  -2.769	  -0.232
  -2.768	  -0.232
  -2.768	  -0.233
  -2.767	  -0.233
  -2.767	  -0.234
  -2.766	  -0.235
  -2.765	  -0.235
  -2.765	  -0.236
  -2.764	  -0.236
  -2.764	  -0.237
  -2.763	  -0.238
  -2.762	  -0.238
  -2.762	  -0.239
  -2.761	  -0.239
  -2.761	  -0.240
  -2.760	  -0.241
  -2.759	  -0.241
  -2.759	  -0.242
  -2.758	  -0.242
  -2.758	  -0.243
  -2.757	  -0.244
